iter	Passed	Remaining
0	137	137403
1	153	76347
2	169	56367
3	182	45404
4	198	39483
5	211	35094
6	218	30976
7	225	27973
8	230	25347
9	233	23148
10	239	21516
11	242	19979
12	246	18689
13	249	17543
14	253	16675
15	256	15804
16	260	15042
17	263	14359
18	266	13767
19	271	13318
20	275	12857
21	280	12454
22	286	12160
23	289	11781
24	292	11417
25	295	11075
26	301	10849
27	304	10563
28	307	10289
29	310	10033
30	313	9792
31	318	9625
32	321	9422
33	324	9223
34	327	9035
35	332	8911
36	336	8746
37	339	8587
38	342	8433
39	346	8307
40	352	8255
41	357	8155
42	364	8121
43	368	8015
44	372	7904
45	375	7793
46	380	7713
47	385	7642
48	390	7573
49	397	7558
50	403	7501
51	406	7407
52	411	7361
53	415	7275
54	418	7194
55	421	7111
56	427	7073
57	431	7005
58	435	6946
59	440	6894
60	445	6860
61	449	6799
62	452	6733
63	458	6708
64	462	6657
65	466	6595
66	470	6545
67	476	6531
68	480	6484
69	484	6435
70	489	6401
71	494	6370
72	498	6328
73	501	6277
74	508	6271
75	511	6221
76	515	6178
77	518	6129
78	526	6137
79	534	6151
80	539	6119
81	543	6080
82	546	6040
83	554	6048
84	561	6044
85	569	6049
86	573	6022
87	579	6002
88	585	5991
89	587	5940
90	591	5909
91	599	5919
92	605	5906
93	609	5873
94	614	5857
95	619	5835
96	624	5811
97	632	5822
98	638	5812
99	646	5814
100	654	5823
101	659	5807
102	666	5803
103	672	5792
104	677	5778
105	683	5766
106	688	5745
107	695	5742
108	698	5711
109	702	5681
110	705	5651
111	711	5637
112	714	5606
113	717	5578
114	719	5537
115	724	5520
116	728	5497
117	732	5471
118	735	5443
119	740	5432
120	744	5405
121	747	5382
122	751	5357
123	757	5349
124	761	5332
125	765	5307
126	769	5288
127	776	5290
128	780	5272
129	792	5300
130	795	5276
131	799	5255
132	806	5255
133	809	5232
134	813	5211
135	816	5187
136	823	5187
137	826	5165
138	830	5141
139	834	5127
140	840	5118
141	843	5097
142	846	5074
143	852	5065
144	856	5052
145	860	5034
146	864	5018
147	870	5012
148	874	4994
149	878	4977
150	882	4960
151	887	4951
152	891	4937
153	896	4927
154	904	4929
155	908	4913
156	912	4896
157	919	4897
158	923	4882
159	926	4866
160	934	4870
161	939	4858
162	942	4841
163	949	4840
164	955	4833
165	959	4819
166	965	4816
167	969	4801
168	973	4785
169	978	4779
170	983	4769
171	987	4754
172	991	4739
173	999	4743
174	1003	4729
175	1007	4715
176	1012	4709
177	1014	4683
178	1018	4670
179	1022	4656
180	1028	4653
181	1032	4640
182	1036	4625
183	1040	4612
184	1051	4631
185	1056	4621
186	1068	4646
187	1080	4666
188	1086	4661
189	1097	4677
190	1104	4677
191	1115	4696
192	1127	4714
193	1132	4706
194	1141	4710
195	1148	4709
196	1157	4717
197	1163	4711
198	1167	4697
199	1172	4689
200	1176	4675
201	1179	4660
202	1186	4658
203	1192	4651
204	1195	4636
205	1199	4622
206	1203	4611
207	1208	4601
208	1212	4590
209	1216	4576
210	1222	4572
211	1226	4557
212	1229	4541
213	1234	4533
214	1238	4520
215	1241	4507
216	1245	4493
217	1250	4485
218	1255	4475
219	1258	4460
220	1261	4446
221	1266	4437
222	1270	4426
223	1273	4412
224	1277	4400
225	1282	4393
226	1286	4382
227	1290	4368
228	1294	4357
229	1300	4354
230	1304	4341
231	1307	4329
232	1313	4322
233	1316	4311
234	1320	4298
235	1323	4285
236	1328	4276
237	1332	4266
238	1336	4254
239	1339	4242
240	1344	4235
241	1347	4221
242	1352	4211
243	1355	4199
244	1361	4196
245	1365	4184
246	1368	4172
247	1372	4161
248	1379	4161
249	1383	4149
250	1386	4137
251	1390	4126
252	1395	4120
253	1398	4108
254	1401	4095
255	1405	4085
256	1410	4077
257	1413	4066
258	1417	4054
259	1420	4043
260	1425	4035
261	1428	4024
262	1432	4013
263	1435	4002
264	1440	3995
265	1444	3985
266	1447	3974
267	1451	3964
268	1456	3957
269	1459	3947
270	1462	3935
271	1466	3925
272	1471	3918
273	1475	3908
274	1478	3897
275	1481	3887
276	1487	3881
277	1492	3875
278	1495	3864
279	1498	3854
280	1506	3853
281	1509	3844
282	1513	3833
283	1517	3825
284	1522	3818
285	1527	3812
286	1530	3801
287	1535	3796
288	1539	3786
289	1542	3776
290	1545	3765
291	1550	3760
292	1554	3749
293	1557	3740
294	1561	3730
295	1571	3737
296	1575	3729
297	1583	3730
298	1588	3724
299	1593	3718
300	1599	3714
301	1602	3704
302	1607	3697
303	1614	3695
304	1619	3690
305	1623	3681
306	1629	3678
307	1636	3676
308	1639	3666
309	1643	3657
310	1648	3652
311	1652	3643
312	1655	3633
313	1659	3624
314	1664	3619
315	1667	3610
316	1671	3600
317	1674	3590
318	1679	3585
319	1682	3575
320	1686	3566
321	1691	3560
322	1698	3559
323	1702	3551
324	1705	3542
325	1711	3539
326	1714	3529
327	1718	3520
328	1721	3511
329	1726	3505
330	1730	3498
331	1734	3489
332	1737	3481
333	1743	3476
334	1748	3470
335	1752	3463
336	1757	3457
337	1761	3450
338	1764	3440
339	1768	3433
340	1774	3428
341	1777	3419
342	1780	3410
343	1784	3402
344	1788	3395
345	1792	3388
346	1796	3380
347	1799	3371
348	1803	3363
349	1807	3357
350	1811	3348
351	1814	3340
352	1817	3331
353	1823	3326
354	1826	3318
355	1830	3310
356	1833	3302
357	1838	3297
358	1841	3288
359	1845	3280
360	1848	3272
361	1853	3267
362	1857	3259
363	1860	3251
364	1864	3243
365	1869	3239
366	1873	3231
367	1876	3223
368	1880	3216
369	1885	3211
370	1890	3204
371	1896	3200
372	1906	3205
373	1911	3199
374	1918	3197
375	1931	3204
376	1937	3201
377	1941	3194
378	1945	3187
379	1951	3183
380	1955	3176
381	1958	3169
382	1971	3176
383	1977	3172
384	1992	3182
385	2002	3185
386	2035	3223
387	2046	3227
388	2056	3230
389	2063	3227
390	2074	3231
391	2083	3232
392	2089	3226
393	2097	3225
394	2101	3218
395	2105	3211
396	2116	3215
397	2121	3209
